2,Larissa,442233,@ladala
3,João,552233,@jojojo
2023004,Rafael Ribeiro,95123-6299,rafael.ribeiro@hotmail.com
2023005,Eduardo Silva,99180-3170,eduardo.silva@gmail.com
2023006,Helena Silva,98178-1026,helena.silva@hotmail.com
2023007,Vanessa Nascimento,92977-9017,vanessa.nascimento@ifce.edu.br
2023008,Ana Silva,93310-1380,ana.silva@ifce.edu.br
2023009,Daniela Santos,99520-3944,daniela.santos@outlook.com
2023010,Eduardo Souza,95225-4921,eduardo.souza@outlook.com
2023011,Julia Souza,92162-1949,julia.souza@outlook.com
2023012,Julia Santos,93551-2546,julia.santos@outlook.com
2023013,Fernanda Nascimento,97471-2715,fernanda.nascimento@ifce.edu.br
2023014,Marcos Souza,97984-8766,marcos.souza@ifce.edu.br
2023015,Igor Silva,95949-3446,igor.silva@hotmail.com
2023016,Marcos Costa,95148-5704,marcos.costa@gmail.com
2023017,Natália Santos,99855-6207,natália.santos@gmail.com
2023018,Otávio Almeida,94277-7303,otávio.almeida@ifce.edu.br
2023019,Fernanda Santos,97196-3303,fernanda.santos@ifce.edu.br
2023020,Carlos Oliveira,98475-2727,carlos.oliveira@gmail.com
2023021,Ana Ribeiro,92568-7359,ana.ribeiro@outlook.com
2023022,Eduardo Pereira,99469-6621,eduardo.pereira@outlook.com
2023023,Otávio Pereira,97148-4617,otávio.pereira@hotmail.com
2023024,Kleber Oliveira,94198-1094,kleber.oliveira@gmail.com
2023025,Gabriel Costa,92892-6309,gabriel.costa@hotmail.com
2023026,Sabrina Oliveira,98525-2074,sabrina.oliveira@gmail.com
2023027,Igor Ribeiro,93415-7270,igor.ribeiro@ifce.edu.br
2023028,Larissa Ribeiro,91787-1537,larissa.ribeiro@gmail.com
2023029,Natália Almeida,91580-2082,natália.almeida@outlook.com
2023030,Kleber Costa,91359-9610,kleber.costa@hotmail.com
2023031,Carlos Pereira,95303-1727,carlos.pereira@ifce.edu.br
2023032,Daniela Nascimento,92309-2715,daniela.nascimento@hotmail.com
2023033,Bruno Pereira,93263-4855,bruno.pereira@hotmail.com
2023034,Carlos Nascimento,91499-7358,carlos.nascimento@hotmail.com
2023035,Fernanda Santos,91751-5976,fernanda.santos@gmail.com
2023036,Carlos Nascimento,96000-4062,carlos.nascimento@ifce.edu.br
2023037,Carlos Nascimento,96861-8248,carlos.nascimento@hotmail.com
2023038,Eduardo Oliveira,97698-4563,eduardo.oliveira@ifce.edu.br
2023039,Carlos Santos,98876-5683,carlos.santos@hotmail.com
2023040,Kleber Nascimento,96544-5179,kleber.nascimento@ifce.edu.br
2023041,Larissa Santos,99402-3666,larissa.santos@hotmail.com
2023042,Tiago Silva,93802-7202,tiago.silva@ifce.edu.br
2023043,Carlos Ribeiro,92251-9795,carlos.ribeiro@hotmail.com
2023044,Bruno Almeida,93120-3114,bruno.almeida@gmail.com
2023045,Vanessa Silva,99616-3181,vanessa.silva@hotmail.com
2023046,Fernanda Oliveira,92360-5287,fernanda.oliveira@outlook.com
2023047,Tiago Ribeiro,93419-6333,tiago.ribeiro@outlook.com
2023048,Larissa Oliveira,99427-9954,larissa.oliveira@outlook.com
2023049,Marcos Oliveira,91504-4131,marcos.oliveira@ifce.edu.br
2023050,Paula Ribeiro,91123-1702,paula.ribeiro@ifce.edu.br
2023051,Helena Santos,97249-1680,helena.santos@outlook.com
2023052,Vanessa Silva,98052-6049,vanessa.silva@ifce.edu.br
2023053,Helena Almeida,91831-9545,helena.almeida@outlook.com
2023054,Daniela Ribeiro,93000-9980,daniela.ribeiro@hotmail.com
2023055,Daniela Nascimento,95762-4953,daniela.nascimento@hotmail.com
2023056,Igor Almeida,97758-3077,igor.almeida@ifce.edu.br
2023057,Igor Almeida,94148-9308,igor.almeida@ifce.edu.br
2023058,Paula Souza,99112-5594,paula.souza@ifce.edu.br
2023059,Helena Ribeiro,95788-1466,helena.ribeiro@ifce.edu.br
2023060,Natália Costa,93534-8440,natália.costa@gmail.com
2023061,Helena Ribeiro,96026-5033,helena.ribeiro@outlook.com
2023062,Marcos Santos,98823-6997,marcos.santos@ifce.edu.br
2023063,Sabrina Silva,98925-6182,sabrina.silva@outlook.com
2023064,Bruno Santos,97006-9142,bruno.santos@gmail.com
2023065,Helena Ribeiro,99516-6735,helena.ribeiro@gmail.com
2023066,Kleber Nascimento,94485-6480,kleber.nascimento@outlook.com
2023067,Fernanda Silva,91956-3450,fernanda.silva@hotmail.com
2023068,Rafael Silva,96046-8978,rafael.silva@hotmail.com
2023069,Rafael Almeida,92336-3314,rafael.almeida@ifce.edu.br
2023070,Marcos Silva,95912-4258,marcos.silva@hotmail.com
2023071,Julia Souza,96340-2349,julia.souza@hotmail.com
2023072,Sabrina Oliveira,99204-4979,sabrina.oliveira@hotmail.com
2023073,Kleber Ribeiro,92997-7371,kleber.ribeiro@ifce.edu.br
2023074,Vanessa Pereira,91118-8560,vanessa.pereira@hotmail.com
2023075,Ana Gomes,97369-3873,ana.gomes@ifce.edu.br
2023076,Marcos Santos,97636-2040,marcos.santos@gmail.com
2023077,Rafael Silva,93859-9973,rafael.silva@hotmail.com
2023078,Igor Souza,93081-8532,igor.souza@outlook.com
2023079,Larissa Almeida,97764-3826,larissa.almeida@gmail.com
2023080,Eduardo Costa,99786-1101,eduardo.costa@outlook.co
